symbol,trades,bought,sold,redeemed,net_pnl,roi_%
BTC,185,491.34,384.3,69.34,-37.7,-7.7
DOGE,13,32.09,31.79,10.0,9.69,30.2
ETH,237,604.03,453.03,95.57,-55.43,-9.2
SOL,91,205.0,118.41,73.37,-13.22,-6.4
XRP,113,245.54,186.88,37.89,-20.77,-8.5
