proxyWallet,asset,conditionId,size,avgPrice,initialValue,currentValue,cashPnl,percentPnl,totalBought,realizedPnl,percentRealizedPnl,curPrice,redeemable,mergeable,title,slug,icon,eventId,eventSlug,outcome,outcomeIndex,oppositeOutcome,oppositeAsset,endDate,negativeRisk,symbol
0x4ff44f5e2c039122daab3047f03d390aacda8915,100110558562238588439529430698807433615728422926428422635607920367067719567895,0xf91d8da8daa6d1b09dfde26d6c7616b64c20b37c24fa0592c086e78786ab768f,14.1545,0.25,3.5386,0,-3.5386,-99.9992,14.28,0.0,-100,0,True,False,"Solana Up or Down - March 19, 4:15PM-4:20PM ET",sol-updown-5m-1773951300,https://polymarket-upload.s3.us-east-2.amazonaws.com/SOL+fullsize.png,284015,sol-updown-5m-1773951300,Down,1,Up,59005439905121041482214652922901414568119930213222379108575536848772219102897,2026-03-19,False,SOL
0x4ff44f5e2c039122daab3047f03d390aacda8915,94820159797077734836427223550047181826753512936578440496094124912975439104809,0xf635b135c0affb13ec77b0c273df231c581c32fd895323481f7a3e34aabb91f2,14.1111,0.5399,7.6199,0,-7.6199,-99.9988,14.1111,0.0,-100,0,True,False,"Bitcoin Up or Down - May 4, 6:25AM-6:30AM ET",btc-updown-5m-1777890300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,444237,btc-updown-5m-1777890300,Down,1,Up,24562434091738969580037094048467196125851675181603366831662446827405544066432,2026-05-04,False,BTC
0x4ff44f5e2c039122daab3047f03d390aacda8915,108624727678618097630103444834069613369593225723612265529565294576686130164128,0xf24222bdbd20e5f8d4b7a87e0819fd59f01ac03a674f82e0313d4bcbb85ced4b,14.0845,0.29,4.0845,0,-4.0845,-99.9998,14.0845,0.0,-100,0,True,False,"XRP Up or Down - March 17, 1:10PM-1:15PM ET",xrp-updown-5m-1773767400,https://polymarket-upload.s3.us-east-2.amazonaws.com/XRP-logo.png,276747,xrp-updown-5m-1773767400,Down,1,Up,12023834552944957320886006327141684304304080999987509811605530635106770375953,2026-03-17,False,XRP
0x4ff44f5e2c039122daab3047f03d390aacda8915,115308981069017871923375936890621589734198855254948960938381347461280122663672,0xbb480144418134c1878f6186db25087df4d258f0a5caaafbe9bc5ffe9c98f40d,14.08,0.36,5.0687,0,-5.0687,-99.998,14.08,0.0,-100,0,True,False,"Ethereum Up or Down - March 16, 5:15PM-5:20PM ET",eth-updown-5m-1773695700,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,273913,eth-updown-5m-1773695700,Up,0,Down,47990228225090523475777715921607787194260393866709993743806256087611551423019,2026-03-16,False,ETH
0x4ff44f5e2c039122daab3047f03d390aacda8915,69072627613477435225811618135287633267355654618177940645272985012206217870975,0x536d4934ca01cd54ba3ac2b4d07e2e81eb7e8fbea91ef50cccd91afae84b46d3,13.8549,0.3438,4.7637,0,-4.7637,-99.9984,14.542,0.0,-100,0,True,False,"Ethereum Up or Down - April 12, 9:00AM-9:05AM ET",eth-updown-5m-1775998800,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,367704,eth-updown-5m-1775998800,Up,0,Down,7431136832685247627782630574902311629816607130980132266330469863978888628197,2026-04-12,False,ETH
0x4ff44f5e2c039122daab3047f03d390aacda8915,90167863110342353416435985024925240317017079219712988984985688964817292518485,0xd2c8637df033aa4c5d2aacce0690953457482707b2f48267f07da09c90adf675,13.69,0.36,4.9284,0,-4.9284,-100.0,13.6899,0.0,-100,0,True,False,"XRP Up or Down - March 17, 2:20PM-2:25PM ET",xrp-updown-5m-1773771600,https://polymarket-upload.s3.us-east-2.amazonaws.com/XRP-logo.png,276918,xrp-updown-5m-1773771600,Up,0,Down,97787632504913201757619782777321239856530466189737608330446919612648538685875,2026-03-17,False,XRP
0x4ff44f5e2c039122daab3047f03d390aacda8915,92409802569114283698428755045487788528774045396378209913333503164037869633405,0xd5c9e6f94b998a987d3d8aa28a66a016218b84f4b5535d75bb03f34835f52af5,13.4615,0.5199,6.9999,0,-6.9999,-99.9987,13.4615,0.0,-100,0,True,False,"Ethereum Up or Down - April 30, 8:30AM-8:35AM ET",eth-updown-5m-1777552200,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,430960,eth-updown-5m-1777552200,Up,0,Down,67952043012677218685340778964092958415971099802608060523324489866748486267239,2026-04-30,False,ETH
0x4ff44f5e2c039122daab3047f03d390aacda8915,100893235986413839676823281667631714222653691331864386455558097072756158167052,0x1984ae47f1db4bc63ecadfe5e56ecec47fb2d736305e72fa956b442a454ccf00,13.4,0.7462,9.9999,0,-9.9999,-99.999,13.4,0.0,-100,0,True,False,"Solana Up or Down - April 30, 12:00PM-12:05PM ET",sol-updown-5m-1777564800,https://polymarket-upload.s3.us-east-2.amazonaws.com/SOL+fullsize.png,431535,sol-updown-5m-1777564800,Down,1,Up,12829925367887664388919202998029287902327245413890575212419854572534306751116,2026-04-30,False,SOL
0x4ff44f5e2c039122daab3047f03d390aacda8915,78615837350479671761062252291176969323226723113487532145635634651811041458115,0x94c8bd846ca964f84c9240f1015f574f2521c3c4981e80fe479ed2b16dbb9091,13.2488,0.3599,4.7695,0,-4.7695,-99.9981,13.8888,0.0,-100,0,True,False,"Ethereum Up or Down - April 4, 10:00AM-10:05AM ET",eth-updown-5m-1775311200,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,339732,eth-updown-5m-1775311200,Down,1,Up,13078209247146463167036132688470493811389600445429408580361912751089757177479,2026-04-04,False,ETH
0x4ff44f5e2c039122daab3047f03d390aacda8915,53029992930575759184671096290489862979939355092257561093504611972418799955761,0xac6ace14769b22fcb34c0bc947993bd630b2621fa1140707b1a38328f2f9a547,13.15,0.38,4.997,0,-4.997,-100.0,13.15,0.0,-100,0,True,False,"Ethereum Up or Down - March 19, 3:10PM-3:15PM ET",eth-updown-5m-1773947400,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,283866,eth-updown-5m-1773947400,Down,1,Up,17499599680029099347242571156436418647357294717061285916041923421869740050103,2026-03-19,False,ETH
