weekday,symbol,records,total_usdc,pnl_cashflow
Monday,BTC,33,148.11,-14.8
Monday,ETH,40,194.22,-21.51
Monday,SOL,6,27.17,-10.07
Monday,XRP,12,27.32,-1.73
Wednesday,XRP,3,18.67,-9.93
Friday,BTC,41,223.33,-7.72
Friday,DOGE,5,17.96,8.27
Friday,ETH,48,276.8,-5.61
Friday,SOL,12,63.34,-0.9
Friday,XRP,15,79.54,-0.4
Saturday,BTC,10,38.65,0.94
Saturday,ETH,8,72.38,-1.99
Saturday,XRP,2,6.54,-0.41
Sunday,BTC,17,80.95,-9.46
Sunday,ETH,24,146.11,-6.06
Sunday,SOL,2,15.47,-0.6
Sunday,XRP,2,2.22,0.19
